path,category,file_type,size_bytes,purpose,likely_origin,reusable,sensitive_risk,duplicate_group,deployment_required,recommended_action,confidence,evidence
audit/full-site-audit.md,NEEDS_REVIEW,.md,5937,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.md:1
audit/full_scan.py,NEEDS_REVIEW,.py,44385,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,yes,,no,possible sensitive pattern; do not stage before manual inspection,high,file_count=1; top_ext=.py:1; sensitive_pattern_types=token; risky_patterns=deploy command
audit/git-change-analysis.md,NEEDS_REVIEW,.md,8796,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.md:1
audit/h1-candidates.csv,NEEDS_REVIEW,.csv,2795,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/html-audit.csv,NEEDS_REVIEW,.csv,2580526,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/http-domain-matrix.csv,NEEDS_REVIEW,.csv,982,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/indexability-audit.csv,NEEDS_REVIEW,.csv,771512,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/internal-link-errors.csv,NEEDS_REVIEW,.csv,30,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/jsonld-errors.csv,NEEDS_REVIEW,.csv,1232831,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/live-home.html,NEEDS_REVIEW,.html,19158,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.html:1
audit/live-local-comparison.csv,NEEDS_REVIEW,.csv,49965,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/live-local-comparison.md,NEEDS_REVIEW,.md,888,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.md:1
audit/live-sitemap.xml,NEEDS_REVIEW,.xml,1998035,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.xml:1
audit/orphan-classification.csv,NEEDS_REVIEW,.csv,917749,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/orphan-pages.csv,NEEDS_REVIEW,.csv,31,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/regeneration-test-output,KEEP_LOCAL_IGNORE,directory,179819238,temporary regeneration test output,local SEO/deployment audit and verification work,no,no,,no,temporary generated/backup artifact; preserve locally or ignore,high,file_count=9614; top_ext=.html:9612|.txt:1|.xml:1
audit/sample-link-hotfix.csv,NEEDS_REVIEW,.csv,2255,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/sample-link-verification.csv,NEEDS_REVIEW,.csv,1125,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/scan-progress.json,NEEDS_REVIEW,.json,43797540,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.json:1
audit/sitemap-audit.csv,NEEDS_REVIEW,.csv,348,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/sitemap-full-audit.csv,NEEDS_REVIEW,.csv,2768054,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/sitemap-live-status.csv,NEEDS_REVIEW,.csv,2227287,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/structured-data-errors.csv,NEEDS_REVIEW,.csv,28,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/summary.json,NEEDS_REVIEW,.json,1086,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.json:1
audit/unstaged-change-classification.csv,NEEDS_REVIEW,.csv,232329,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/unstaged-change-review.md,NEEDS_REVIEW,.md,6624,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.md:1
audit/unstaged-review-backup,KEEP_LOCAL_IGNORE,directory,62332965,backup patch/status artifacts,local SEO/deployment audit and verification work,no,no,,no,temporary generated/backup artifact; preserve locally or ignore,high,file_count=2387; top_ext=.html:2370|.txt:12|.head:3|.worktree:1|.patch:1
audit/url-normalization.csv,NEEDS_REVIEW,.csv,19184524,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
audit/user-agent-comparison.csv,NEEDS_REVIEW,.csv,2783,"SEO/site audit report, CSV, or evidence artifact",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
cloudflare_build.py,COMMIT_REUSABLE,.py,281,root helper script,local SEO/deployment audit and verification work,yes,no,,possible; needs review,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
deploy_guard.py,COMMIT_REUSABLE,.py,3634,root helper script,local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
deployment_complete_report.md,COMMIT_REUSABLE,.md,2352,root documentation/report,local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
favicon_fix_report.md,COMMIT_REUSABLE,.md,4010,root documentation/report,local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
favicon_validation_report.md,COMMIT_REUSABLE,.md,7757,root documentation/report,local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
final_platform_report.md,COMMIT_REUSABLE,.md,8848,root documentation/report,local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
package.json,NEEDS_REVIEW,.json,219,Node/Vercel tooling manifest candidate,local SEO/deployment audit and verification work,yes,no,,possible; needs review,tooling manifest can affect build/dependency expectations,high,file_count=1; top_ext=.json:1
post_deploy_check.py,COMMIT_REUSABLE,.py,272,root helper script,local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
pre_deploy_check.py,COMMIT_REUSABLE,.py,362,root helper script,local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
reports/all_slugs.txt,NEEDS_REVIEW,.txt,244578,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
reports/browser_qa_50_results.json,NEEDS_REVIEW,.json,28386,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.json:1
reports/build_naver_seo_fix_report.py,COMMIT_REUSABLE,.py,2788,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
reports/check_naver_seo_urls.py,COMMIT_REUSABLE,.py,5558,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
reports/favicon-live-check,KEEP_LOCAL_IGNORE,directory,2173141,browser/favicon verification artifact,local SEO/deployment audit and verification work,no,no,,no,local/generated verification artifact,high,file_count=8; top_ext=.png:3|.ico:1|.html:1|.webp:1|.txt:1
reports/fix_naver_seo_pages.py,COMMIT_REUSABLE,.py,5028,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,yes,no,,no,reusable helper script candidate,medium,file_count=1; top_ext=.py:1
reports/live_title_check_7_urls.csv,NEEDS_REVIEW,.csv,2052,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
reports/naver_all_collection_urls.txt,NEEDS_REVIEW,.txt,477031,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
reports/naver_collection_urls.txt,NEEDS_REVIEW,.txt,2003,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
reports/naver_seo_after.csv,NEEDS_REVIEW,.csv,9328,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP001,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
reports/naver_seo_before.csv,NEEDS_REVIEW,.csv,9328,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP001,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.csv:1
reports/naver_seo_fix_report.md,COMMIT_REUSABLE,.md,5808,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,yes,no,,no,human-readable final/operational report candidate,medium,file_count=1; top_ext=.md:1
reports/studyhub-final-qa-browser.png,DELETE_CANDIDATE,.png,9724595,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-fixed-images-browser-cdp.png,DELETE_CANDIDATE,.png,8231273,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-fixed-images-browser-full.png,DELETE_CANDIDATE,.png,8231273,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-fixed-images-vertical-complete.png,DELETE_CANDIDATE,.png,7990641,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-fixed-images-vertical-final.png,DELETE_CANDIDATE,.png,9563282,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-fixed-images-vertical.png,DELETE_CANDIDATE,.png,3987570,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-home-live-redesign-fresh.png,DELETE_CANDIDATE,.png,595304,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP002,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-home-live-redesign.png,DELETE_CANDIDATE,.png,1452192,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-home-redesign-final.png,DELETE_CANDIDATE,.png,595304,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP002,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-home-redesign-full.png,DELETE_CANDIDATE,.png,993091,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-home-redesign.png,DELETE_CANDIDATE,.png,610441,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-live-jeju.png,DELETE_CANDIDATE,.png,1422408,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-live-main.png,DELETE_CANDIDATE,.png,1440399,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-main-deployed-final.png,DELETE_CANDIDATE,.png,1452208,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-body-2.png,DELETE_CANDIDATE,.png,9066,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP003,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-body-crop.png,DELETE_CANDIDATE,.png,2387150,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-body.png,DELETE_CANDIDATE,.png,9066,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,DUP003,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-content-crop.png,DELETE_CANDIDATE,.png,1185625,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-full-9000.png,DELETE_CANDIDATE,.png,6845042,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju-full.png,DELETE_CANDIDATE,.png,5208318,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-jeju.png,DELETE_CANDIDATE,.png,1216634,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/studyhub-restored-main.png,DELETE_CANDIDATE,.png,1234502,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,reproducible screenshot candidate; not deleted,medium,file_count=1; top_ext=.png:1
reports/title_duplicate_report.txt,NEEDS_REVIEW,.txt,1083072,"QA report, screenshot, or helper output",local SEO/deployment audit and verification work,no,no,,no,purpose unclear or intermediate artifact,medium,file_count=1; top_ext=.txt:1
scripts,NEEDS_REVIEW,directory,38482,project utility script directory,local SEO/deployment audit and verification work,no,yes,,no,possible sensitive pattern; do not stage before manual inspection,high,file_count=7; top_ext=.py:4|.pyc:3; sensitive_pattern_types=token
seo_audit,NEEDS_REVIEW,directory,95600,SEO audit tooling/output directory,local SEO/deployment audit and verification work,no,yes,,no,possible sensitive pattern; do not stage before manual inspection,high,file_count=4; top_ext=.py:2|.pyc:2; sensitive_pattern_types=session|token
verification,KEEP_LOCAL_IGNORE,directory,4547936,verification artifact directory,local SEO/deployment audit and verification work,no,no,,no,local/generated verification artifact,high,file_count=25; top_ext=.xlsx:20|.md:2|.csv:1|.txt:1|.json:1
